"","H_INFORM_rating.Value","H_INFORM_rating.Rating","H_covid_case_rate.Value","H_covid_case_rate.Rating","H_legal_stringency.Value","H_legal_stringency.Rating","H_international_travel.Value","H_international_travel.Rating","H_internal_movement.Value","H_internal_movement.Rating","H_stay_home.Value","H_stay_home.Rating","H_income_support.Value","H_income_support.Rating","H_debt_relief.Value","H_debt_relief.Rating","H_gdp_change.Value","H_gdp_change.Rating","H_unemployment.Value","H_unemployment.Rating","H_inflation.Value","H_inflation.Rating","H_school_close.Value","H_school_close.Rating","H_ipc_3_plus.Value","H_ipc_3_plus.Rating","H_growth_events.Value","H_growth_events.Rating","H_public_info.Value","H_public_info.Rating","H_testing_policy.Value","H_testing_policy.Rating","H_contact_trace.Value","H_contact_trace.Rating","H_growth_conflict.Value","H_growth_conflict.Rating","H_seasonal_flood.Value","H_seasonal_flood.Rating","H_seasonal_cyclone.Value","H_seasonal_cyclone.Rating","H_seasonal_exposure.Value","H_seasonal_exposure.Rating","H_ASAP_hotspot.Value","H_ASAP_hotspot.Rating","H_INFORM_severity.Value","H_INFORM_severity.Rating","Country","H_INFORM_rating.Value_norm"
"92",3.8,NA,"17.8","Low","49","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","Recommend not leaving house","Medium","No income support","High","1","Medium","-12.0 %","High","6.6 %","Medium","8.0 %","High","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,"0.0","Low","0.0","Low","3.1","Medium","No hotspot","Low","NO CRISIS","Low","KGZ",4.5
"93",4.6,NA,"0.0","Low","30","Medium","Total border closure","Low","No measures","High","No measures","High","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","0.2 %","Medium","NO DATA",NA,"6.5 %","High","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.1","Low","2.4","Medium","No hotspot","Low","NO CRISIS","Low","LAO",6.5
"94",3.4,NA,"272.6","High","57","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","-6.0 %","High","9.0 %","Medium","0.6 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,"0.0","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","LVA",3.5
"95",5,NA,"588.1","High","87","Low","Quarantine arrivals from high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","1","Medium","-25.0 %","High","NO DATA",NA,"85.5 %","High","Partially open","Medium","NO DATA",NA,"1,300.00%","High","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","350.00%","High","1.2","Low","0.0","Low","2.6","Medium","NO DATA",NA,"High","High","LBN",7.5
"96",6,NA,"81.1","Medium","36","Medium","Total border closure","Low","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","0","High","-4.8 %","High","NO DATA",NA,"4.3 %","Medium","Fully open","Low","582,172","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,"3.0","Medium","0.0","Low","5.0","Medium","No hotspot","Low","High","High","LSO",10
"97",6.2,NA,"0.9","Low","57","Medium","Screening","Medium","No measures","High","No measures","High","No income support","High","0","High","-3.0 %","High","NO DATA",NA,"11.9 %","High","Fully open","Low","554,036","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","0.0","Low","No hotspot","Low","NO CRISIS","Low","LBR",10
"98",4.3,NA,"128.8","High","77","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","0","High","-66.7 %","High","NO DATA",NA,"22.3 %","High","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","No contact tracing","High","50.00%","High","0.0","Low","0.0","Low","4.5","Medium","No hotspot","Low","Medium","Medium","LBY",5.75
"99",1.9,NA,"187.6","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.1","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","LIE",0
"100",2.8,NA,"353.3","High","82","Low","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","-1.8 %","High","8.2 %","Medium","1.3 %","Low","Closed due to COVID-19","High","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,"0.0","Low","0.0","Low","1.0","Low","NO DATA",NA,"NO CRISIS","Low","LTU",2
"101",3.2,NA,"349.3","High","56","Medium","Ban on high-risk regions","Medium","No measures","High","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-5.8 %","High","6.5 %","Medium","0.4 %","Low","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","LUX",3
"102",6.2,NA,"2.3","Low","37","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","-3.2 %","High","NO DATA",NA,"4.3 %","Medium","Fully open","Low","554,511","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","-16.67%","Medium","7.2","High","7.2","High","4.2","Medium","No hotspot","Low","High","High","MDG",10
"103",5.7,NA,"39.9","Medium","51","Medium","Screening","Medium","No measures","High","No measures","High","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","1","Medium","0.6 %","Medium","NO DATA",NA,"9.3 %","High","Fully open","Low","2,617,986","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","100.00%","High","3.2","Medium","0.7","Low","5.4","Medium","No hotspot","Low","High","High","MWI",9.25
"104",3.2,NA,"183.6","High","67","Medium","Ban on high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-6.0 %","High","4.9 %","Low","-1.1 %","Medium","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"2.8","Medium","0.1","Low","2.8","Medium","NO DATA",NA,"NO CRISIS","Low","MYS",3
"105",4,NA,"337.1","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-18.6 %","High","NO DATA",NA,"0.4 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.1","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","MDV",5
"106",5.7,NA,"1.0","Low","43","Medium","Screening","Medium","No measures","High","No measures","High","No income support","High","0","High","-2.0 %","High","NO DATA",NA,"0.5 %","Low","Fully open","Low","954,938","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","252.17%","High","0.0","Low","0.0","Low","3.5","Medium","No hotspot","Low","High","High","MLI",9.25
"107",4.1,NA,"397.7","High","53","Medium","Ban on high-risk regions","Medium","No measures","High","No measures","High","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","1","Medium","-7.9 %","High","4.2 %","Low","0.8 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.1","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","MLT",5.25
"108",5.4,NA,"0.0","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-4.5 %","High","NO DATA",NA,"0.9 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.1","Low","0.0","Low","3.4","Medium","NO DATA",NA,"NO CRISIS","Low","MHL",8.5
"109",5.8,NA,"8.4","Low","52","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","No income support","High","0","High","-3.2 %","High","NO DATA",NA,"3.9 %","Medium","Fully open","Low","409,942","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","4.2","Medium","No hotspot","Low","Medium","Medium","MRT",9.5
"110",3.7,NA,"2.0","Low","17","High","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","0","High","-14.2 %","High","21.0 %","High","2.6 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.1","Low","6.8","Medium","0.3","Low","NO DATA",NA,"NO CRISIS","Low","MUS",4.25
"111",3.7,NA,"128.8","High","72","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-9.0 %","High","5.2 %","Medium","3.4 %","Medium","Closed due to COVID-19","High","NO DATA",NA,"9.68%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","197.01%","High","1.0","Low","0.0","Low","3.4","Medium","NO DATA",NA,"Low","Medium","MEX",4.25
"112",5,NA,"0.0","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-3.8 %","High","NO DATA",NA,"-0.8 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.1","Low","0.0","Low","5.4","Medium","NO DATA",NA,"NO CRISIS","Low","Micronesia",7.5
"113",4.4,NA,"206.9","High","48","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","-4.5 %","High","8.0 %","Medium","2.8 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","1.9","Low","NO DATA",NA,"NO CRISIS","Low","MDA",6
"114",3.7,NA,"13.3","Low","75","Medium","Total border closure","Low","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-2.0 %","High","12.0 %","Medium","5.0 %","Medium","Fully open","Low","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","1.7","Low","NO DATA",NA,"NO CRISIS","Low","MNG",4.25
"115",3.7,NA,"1,110.8","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-12.0 %","High","NO DATA",NA,"-0.1 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.0","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","MNE",4.25
"116",4.3,NA,"24.9","Medium","81","Low","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","0","High","-7.0 %","High","12.5 %","Medium","0.2 %","Low","Fully open","Low","NO DATA",NA,"-25.00%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","-50.00%","Low","2.3","Medium","0.0","Low","5.5","Medium","No hotspot","Low","NO CRISIS","Low","MAR",5.75
"117",6.2,NA,"38.9","Medium","56","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","No income support","High","0","High","-0.5 %","Medium","NO DATA",NA,"3.6 %","Medium","Partially open","Medium","364,389","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Comprehensive contact tracing - done for all cases","Low","172.73%","High","3.5","Medium","5.1","Medium","6.0","Medium","Hotspot","High","High","High","MOZ",10
"118",4.8,NA,"7.1","Low","80","Medium","Total border closure","Low","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","2.0 %","Low","4.0 %","Low","6.1 %","High","Closed due to COVID-19","High","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","600.00%","High","0.0","Low","0.1","Low","0.3","Low","No hotspot","Low","High","High","MMR",7
"119",5.1,NA,"69.9","Medium","39","Medium","Screening","Medium","No measures","High","Recommend not leaving house","Medium","No income support","High","0","High","-5.9 %","High","NO DATA",NA,"2.3 %","Low","Fully open","Low","440,610","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"2.6","Medium","0.0","Low","7.8","High","No hotspot","Low","High","High","NAM",7.75
"120",5.2,NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.7 %","Medium","NO DATA",NA,"0.9 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.1","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","NRU",8
"121",5.1,NA,"8.7","Low","64","Medium","Quarantine arrivals from high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","0.0 %","Medium","NO DATA",NA,"6.4 %","High","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Limited contact tracing - not done for all cases","Medium","-33.33%","Low","0.0","Low","0.0","Low","2.1","Medium","No hotspot","Low","NO CRISIS","Low","NPL",7.75
"122",2.5,NA,"317.9","High","94","Low","Ban on high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","1","Medium","-5.4 %","High","5.5 %","Medium","1.2 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,"0.0","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","NLD",1.25
"123",2.1,NA,"0.7","Low","22","Medium","Total border closure","Low","Require closing (or prohibit most people from using it)","Low","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-6.1 %","High","6.0 %","Medium","1.7 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"1.9","Low","2.9","Medium","0.5","Low","NO DATA",NA,"NO CRISIS","Low","NZL",0.25
"124",4.6,NA,"1.5","Low","8","High","Screening","Medium","No measures","High","No measures","High","No income support","High","0","High","-5.5 %","High","10.6 %","Medium","4.4 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Public officials urging caution about COVID-19","Medium","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","No contact tracing","High","66.67%","High","0.0","Low","0.0","Low","3.1","Medium","Hotspot","High","Low","Medium","NIC",6.5
"125",6.2,NA,"1.1","Low","31","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","No income support","High","2","Low","0.5 %","Medium","NO DATA",NA,"4.4 %","Medium","Fully open","Low","1,731,302","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","No contact tracing","High","73.33%","High","0.0","Low","0.0","Low","4.7","Medium","No hotspot","Low","High","High","NER",10
"126",5.9,NA,"8.3","Low","58","Medium","Quarantine arrivals from high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","0","High","-4.3 %","High","NO DATA",NA,"12.9 %","High","Fully open","Low","12,972,102","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Comprehensive contact tracing - done for all cases","Low","257.81%","High","0.6","Low","0.0","Low","0.0","Low","Hotspot","High","High","High","NGA",9.75
"127",3.7,NA,"199.5","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-5.4 %","High","20.2 %","High","0.9 %","Low","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.0","Low","0.0","Low","0.8","Low","NO DATA",NA,"NO CRISIS","Low","MKD",4.25
"128",1.9,NA,"69.3","Medium","53","Medium","Quarantine arrivals from high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Recommend not leaving house","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","0","High","-2.8 %","High","4.5 %","Low","1.4 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.1","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","NOR",0
"129",3,NA,"52.9","Medium","37","Medium","Total border closure","Low","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","1","Medium","-10.0 %","High","NO DATA",NA,"1.0 %","Low","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","OMN",2.5
"130",5.3,NA,"9.9","Low","48","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-0.4 %","Medium","4.5 %","Low","10.7 %","High","Fully open","Low","1,236,107","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","72.22%","High","1.8","Low","0.0","Low","4.8","Medium","No hotspot","Low","Medium","High","PAK",8.25
"131",3.9,NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-11.4 %","High","NO DATA",NA,"0.0 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.1","Low","0.1","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low","PLW",4.75
"132",5,NA,"169.0","High","63","Medium","Quarantine arrivals from high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with minimal exceptions (e.g. allowed to leave on ...","Low","No income support","High","0","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"Partially open","Medium","NO DATA",NA,"-83.33%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","600.00%","High","0.9","Low","0.0","Low","0.0","Low","NO DATA",NA,"High","High","PSE",7.5
"133",3.7,NA,"351.7","High","58","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-9.0 %","High","10.9 %","Medium","-0.8 %","Medium","Academic break","Low","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","0.8","Low","NO DATA",NA,"NO CRISIS","Low","PAN",4.25
"134",5.7,NA,"0.5","Low","38","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-3.3 %","High","NO DATA",NA,"3.4 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"2.5","Medium","2.6","Medium","2.5","Medium","NO DATA",NA,"NO CRISIS","Low","PNG",9.25
"135",3.6,NA,"138.4","High","53","Medium","Screening","Medium","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-4.0 %","High","7.0 %","Medium","2.9 %","Low","Partially open","Medium","NO DATA",NA,"-92.86%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"1.2","Low","0.0","Low","3.5","Medium","NO DATA",NA,"NO CRISIS","Low","PRY",4
"136",4.3,NA,"269.7","High","61","Medium","Quarantine arrivals from high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","-13.9 %","High","12.5 %","Medium","1.8 %","Low","Academic break","Low","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"6.4","Medium","0.0","Low","4.1","Medium","No hotspot","Low","High","High","PER",5.75
"137",4.7,NA,"21.9","Medium","55","Medium","Quarantine arrivals from high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","0","High","-8.3 %","High","10.4 %","Medium","2.4 %","Low","Closed due to COVID-19","High","NO DATA",NA,"-50.00%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","258.82%","High","3.4","Medium","0.2","Low","3.7","Medium","No hotspot","Low","Low","Medium","PHL",6.75
"138",3.1,NA,"196.4","High","71","Medium","Ban on high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Recommend not leaving house","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","1","Medium","-3.6 %","High","3.8 %","Low","3.3 %","Medium","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,"0.0","Low","0.0","Low","0.3","Low","NO DATA",NA,"NO CRISIS","Low","POL",2.75
"139",2.8,NA,"1,214.5","High","79","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-10.0 %","High","8.1 %","Medium","0.0 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,"3.7","Medium","0.0","Low","2.2","Medium","NO DATA",NA,"NO CRISIS","Low","PRT",2
